listing_id,room_type,property_type,accommodates,bedrooms,minimum_nights,maximum_nights,instant_bookable,bathrooms,is_superhost,count,name,total_reviews_before_cutoff,unique_reviewers_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,sum_future_available_days_30d,avg_future_available_days_30d,high_demand_proxy,cutoff_date,version
50325628,Entire home/apt,Entire condo,0.2,0.17647058823529413,0.001,0.025800711743772242,False,1.5,False,1,De Pijp - Rivierenbuurt,18.0,18.0,155.0,88,0.967032967032967,2.0,30.0,31,1.0,2.0,30.0,30,1.0,0,2025-12-10,v1
50341457,Private room,Private room in bed and breakfast,0.06666666666666667,0.058823529411764705,0.002,0.02402135231316726,False,1.5,True,1,De Pijp - Rivierenbuurt,220.0,220.0,96.0,29,0.31868131868131866,3.021978021978022,1125.0,15,0.4838709677419355,3.0,1125.0,26,0.8666666666666667,0,2025-12-10,v1
50342109,Private room,Private room in rental unit,0.06666666666666667,0.0,0.0,0.005338078291814947,True,1,True,2,Centrum-West,80.0,78.0,90.0,52,0.5714285714285714,2.791208791208791,7.0,24,0.7741935483870968,3.0,7.0,30,1.0,0,2025-12-10,v1
50342116,Private room,Private room in rental unit,0.06666666666666667,0.0,0.0,0.005338078291814947,True,1,True,2,Centrum-West,98.0,98.0,91.0,30,0.32967032967032966,2.791208791208791,7.0,15,0.4838709677419355,3.0,7.0,24,0.8,0,2025-12-10,v1
50351833,Entire home/apt,Entire condo,0.2,0.29411764705882354,0.002,0.006227758007117438,False,2.5,False,1,De Baarsjes - Oud-West,13.0,13.0,121.0,0,0.0,3.0,8.0,0,0.0,3.0,8.0,0,0.0,1,2025-12-10,v1
50361586,Entire home/apt,Entire townhouse,0.2,0.11764705882352941,0.002,0.009786476868327402,False,1.5,False,1,De Pijp - Rivierenbuurt,18.0,18.0,149.0,8,0.08791208791208792,2.967032967032967,1125.0,0,0.0,3.0,1125.0,0,0.0,1,2025-12-10,v1
50369122,Entire home/apt,Entire rental unit,0.06666666666666667,0.058823529411764705,0.001,0.005338078291814947,False,1.5,False,1,Westerpark,32.0,32.0,115.0,0,0.0,2.0,7.0,0,0.0,2.0,7.0,0,0.0,1,2025-12-10,v1
50370847,Entire home/apt,Entire rental unit,0.06666666666666667,0.058823529411764705,0.003,0.3238434163701068,False,1,False,1,De Baarsjes - Oud-West,0.0,0.0,4358.0,0,0.0,4.0,1125.0,0,0.0,4.0,1125.0,0,0.0,1,2025-12-10,v1
50372278,Entire home/apt,Entire rental unit,0.06666666666666667,0.058823529411764705,0.024,0.025800711743772242,False,1,False,1,Oostelijk Havengebied - Indische Buurt,3.0,3.0,779.0,22,0.24175824175824176,25.0,30.0,0,0.0,25.0,30.0,0,0.0,1,2025-12-10,v1
50383849,Private room,Room in hotel,0.06666666666666667,0.058823529411764705,0.0,0.3238434163701068,True,1,False,5,Osdorp,5097.0,5053.0,92.0,86,0.945054945054945,1.010989010989011,28.802197802197803,31,1.0,1.0,7.0,30,1.0,0,2025-12-10,v1
